value,sector,center_degrees
0.03,1,0
0.03,2,30
0.07,3,60
0.06,4,90
0.05,5,120
0.03,6,150
0.05,7,180
0.1,8,210
0.2,9,240
0.26,10,270
0.09,11,300
0.04,12,330
