ts,mean_wind_speed,SpotPriceDKK,BalancingPowerPriceUpDKK,BalancingPowerPriceDownDKK,mean_wind_power,max_wind_speed_3sec,max_wind_speed_10min,Kalby_AP,optimal_bid
2021-01-01 00:00:00,-0.02356658552223771,-0.6658003879536943,-0.692186998835202,-0.8318871023764312,-0.3459673060340359,-0.0820177210857185,0.17957267536470792,0.686727601751378,
2021-01-01 01:00:00,0.042805232827786,-0.6879055846654809,-0.7114889299101269,-0.5753573951322142,-0.301134460906267,-0.0820177210857185,0.17957267536470792,0.5366932262521248,
2021-01-01 02:00:00,-0.15631022222228513,-0.7168618329994121,-0.7367730957734615,-0.6056876245196731,-0.4276550271495726,-0.3170145449815107,-0.17326060299673868,0.6611891392125961,
2021-01-01 03:00:00,-0.22268204057230853,-0.7313732125136418,-0.7494539069495233,-0.6208991966105976,-0.4652746265374937,-0.3170145449815107,-0.17326060299673868,0.7295207581943487,
2021-01-01 04:00:00,-0.28905385892233226,-0.7522478616039573,-0.7676716814375014,-0.6427527662373752,-0.5012546322389078,-0.43451295692940684,-0.33363936588830523,0.6461180909753801,
2021-01-01 05:00:00,-0.28905385892233226,-0.7538109715667551,-0.7690365658872865,-0.6443900462122464,-0.5012546322389078,-0.3170145449815107,-0.17326060299673868,0.7930410860902454,
2021-01-01 06:00:00,-0.3886115864473678,-0.7585113629210795,-0.7731505676288325,-0.6493250959661495,-0.5529528290700243,-0.43451295692940684,-0.33363936588830523,0.7779308455589521,
2021-01-01 07:00:00,-0.02356658552223771,-0.7547200194214164,-0.7698303329993054,-0.6453422286460225,-0.3459673060340359,-0.3170145449815107,-0.17326060299673868,0.48500744045978067,
2021-01-01 08:00:00,0.10917705117780971,-0.744986641113877,-0.7613312903694767,-0.6351469976097357,-0.25314862124349874,-0.19951613303361462,0.019193912473141356,0.4622309754986279,
2021-01-01 09:00:00,-0.15631022222228513,-0.7152100173521673,-0.7353307848429,-0.8102889953098673,-0.4276550271495726,-0.0820177210857185,-0.33363936588830523,0.5420754483154931,
2021-01-01 10:00:00,-0.28905385892233226,-0.7142122970706233,-0.7344692789982059,-0.7843596609863952,-0.5012546322389078,-0.3170145449815107,-0.33363936588830523,0.7232919508203428,
2021-01-01 11:00:00,-0.3222397680973442,-0.6960647582867272,-0.7186230880901705,-0.7929989045097338,-0.5187459631182262,-0.43451295692940684,-0.33363936588830523,0.8606658303975782,
2021-01-01 12:00:00,-0.4881693139724032,-0.666543121380128,-0.6928355726617573,-0.7379934251915711,-0.6029324192876703,-0.552011368877303,-0.4940181287798718,0.8880204401207451,
